"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Italian","ita","Living","Thriving",28,27.5,1,4,4,4,4,4,4,3.5
"Dutch","nld","Living","Thriving",26,25.5714,0.92987,4,4,4,4,4,4,1.5714
"Vietnamese","vie","Living","Thriving",25,24,0.872727,4,4,4,4,4,3.6,0.4
"Bengali","ben","Living","Vital",24,22.9633,0.835029,4,4,4,4,3.8125,2.9286,0.2222
"Standard Latvian","lvs","Living","Vital",23,22.4534,0.816488,4,4,4,4,3.7143,2.7391,0
"Telugu","tel","Living","Vital",23,21.9891,0.799605,4,4,4,4,3,2.7391,0.25
"Filipino","fil","Living","Vital",22,21.3231,0.775385,4,4,4,4,3,2.3231,0
"Odia","ory","Living","Vital",21,20.4196,0.74253,4,4,4,3.6923,3,1.7273,0
"Kinyarwanda","kin","Living","Vital",19,17.5782,0.639207,4,4,3.4167,3,2.7,0.4615,0
"Plateau Malagasy","plt","Living","Vital",18,16.7999,0.610905,3.9412,3.8421,3.5625,3,2.4541,0,0
"Occitan (post 1500)","oci","Living","Vital",18,16.7347,0.608533,3.9412,3.8421,3.5625,3,1.8889,0.5,0
"Eastern Yiddish","ydd","Living","Vital",17,16.1096,0.585804,4,3.9231,2.8199,3,2.3667,0,0
"Luxembourgish","ltz","Living","Vital",16,14.1349,0.513997,4,3.75,1.8571,2.875,1.6528,0,0
"Campidanese Sardinian","sro","Living","Ascending",15,13.4269,0.48825,4,2.9,1.7273,2.8889,1.9107,0,0
"Walloon","wln","Living","Ascending",13,11.6925,0.425181,4,3.5534,1,2.4,0.7391,0,0
"Manx","glv","Living","Ascending",14,11.3406,0.412387,3.875,3.4127,1,2.1307,0.9222,0,0
"Tagalog","tgl","Living","Ascending",14,10.3046,0.374711,3.875,2,1.2857,2.1307,1.0131,0,0
"Chuanqiandian Cluster Miao","cqd","Living","Ascending",12,9.1515,0.332781,3.9231,2,1,1.6002,0.6282,0,0
